Username,First Name,Last Name,City,Country,Organization,Contributions,Registration Time (seconds),Number of Friends,Number of Problems Solved,Max Streak
tourist,Gennady,Korotkevich,Gomel,Belarus,ITMO University,135,1265987288,74093,2641,5
jiangly,Lingyu,Jiang,Chongqing,China,Jiangly Fan Club,60,1547985852,30347,6270,17
Radewoosh,Mateusz,Radecki,Warsaw,Poland,University of Warsaw,119,1385208270,11749,4025,6
jqdai0815,Jiangqi,Dai,Falefa,Samoa,National University of Samoa,78,1306208507,13387,1853,3
Benq,Benjamin,Qi,Princeton,United States,MIT,66,1435099979,16393,3791,35
orzdevinwang,Kangyang,Zhou,Hangzhou,China,Explosive Vegetable Club,28,1583069392,3714,1794,31
ecnerwala,Andrew,He,Cupertino,United States,MIT,42,1340834919,8945,3038,6
Um_nik,Aleksei,Daniliuk,London,United Kingdom,Um_nik Training Center,163,1348065816,16005,4973,7
gamegame,Harris,Leung,N/A,Hong Kong,University of Oxford,8,1446560101,1353,1451,7
ksun48,Kevin,Sun,N/A,Canada,MIT,41,1325801676,5385,3377,7
